time,src_ip,dst_ip,protocol,length
1543658802.870422,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.870777,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.870779,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.871074,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1506
1543658802.871077,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1506
1543658802.871084,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.871087,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.871088,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.871089,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.871100,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.871101,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.871835,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.871837,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872079,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872080,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872090,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872091,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872100,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1506
1543658802.872101,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1506
1543658802.872351,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.872352,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.872357,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872358,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872362,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.872363,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.872698,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872699,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872704,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872705,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872715,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.872717,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.872724,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872725,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872934,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872935,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872940,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,857
1543658802.872941,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,857
1543658802.872942,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.872943,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.873540,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.873541,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.873552,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.873553,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.873777,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.873779,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.873784,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,878
1543658802.873785,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,878
1543658802.874076,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,287
1543658802.874078,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,287
1543658802.874079,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.874086,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.874088,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.874089,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1514
1543658802.874302,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
1543658802.874304,70:f3:5a:42:73:e8,90:b1:1c:a2:c0:d3,17,1490
